Plate,Individual,Left,R,date,date of death,Measurement,Infection status,Batch,Exp_date,Sex,notes,date for notes
3,P3 11,8,10,7/25/2022,,6,,2,07/08/22,M,,
3,P3 12,0,2,7/25/2022,,6,,2,07/08/22,M,,
3,P3 13,2,3,7/25/2022,,6,C,2,07/08/22,M,,
3,P3 14,,5,7/25/2022,7/13/2022,6,,2,07/08/22,M,,
3,P3 15,22,25,7/25/2022,,6,,2,07/08/22,M,,
1,P1 1,15,25,7/24/2022,,1,C,4,07/17/22,F,,
1,P1 2,3,10,7/24/2022,,1,,4,07/17/22,F,,
1,P1 3,0,3,7/24/2022,,1,,4,07/17/22,F,,
1,P1 4,11,15,7/24/2022,,1,C,4,07/17/22,F,,
1,P1 5,0,3,7/24/2022,,1,,4,07/17/22,F,,
1,P1 6,0,2,7/24/2022,,1,,4,07/17/22,F,,
1,P1 7,0,2,7/24/2022,,1,C,4,07/17/22,F,,
1,P1 8,21,25,7/24/2022,,1,,4,07/17/22,F,e,7/24/2022
1,P1 9,5,10,7/24/2022,,1,,4,07/17/22,F,,
1,P1 10,2,5,7/24/2022,,1,C,4,07/17/22,F,,
1,P1 11,0,5,7/24/2022,,1,,4,07/17/22,F,,
1,P1 12,4,10,7/24/2022,,1,,4,07/17/22,F,,
1,P1 13,9,15,7/24/2022,,1,C,4,07/17/22,F,e,7/24/2022
1,P1 14,0,3,7/24/2022,,1,,4,07/17/22,F,,
1,P1 15,4,10,7/24/2022,,1,,4,07/17/22,F,,
2,P2 1,17,25,7/24/2022,,1,C,4,07/17/22,F,,
2,P2 2,4,10,7/24/2022,,1,,4,07/17/22,F,,
2,P2 3,0,3,7/24/2022,,1,,4,07/17/22,F,,
2,P2 4,7,15,7/24/2022,,1,C,4,07/17/22,F,,
2,P2 5,1,3,7/24/2022,,1,,4,07/17/22,F,,
2,P2 6,0,2,7/24/2022,,1,,4,07/17/22,F,,
2,P2 7,0,2,7/24/2022,,1,C,4,07/17/22,F,,
2,P2 8,18,25,7/24/2022,,1,,4,07/17/22,F,,
2,P2 9,4,10,7/24/2022,,1,,4,07/17/22,F,e,7/24/2022
2,P2 10,0,5,7/24/2022,,1,C,4,07/17/22,F,,
2,P2 11,0,5,7/24/2022,,1,,4,07/17/22,F,,
2,P2 12,5,10,7/24/2022,,1,,4,07/17/22,F,,
2,P2 13,11,15,7/24/2022,,1,C,4,07/17/22,F,e,7/24/2022
2,P2 14,0,3,7/24/2022,,1,,4,07/17/22,F,,
2,P2 15,6,10,7/24/2022,,1,,4,07/17/22,F,e,7/24/2022
3,P3 1,20,25,7/24/2022,,1,C,4,07/17/22,F,,
3,P3 2,5,10,7/24/2022,,1,,4,07/17/22,F,,
3,P3 3,0,3,7/24/2022,,1,,4,07/17/22,F,,
3,P3 4,8,15,7/24/2022,,1,C,4,07/17/22,F,,
3,P3 5,0,3,7/24/2022,,1,,4,07/17/22,F,,
3,P3 6,0,2,7/24/2022,,1,,4,07/17/22,F,,
3,P3 7,0,2,7/24/2022,,1,C,4,07/17/22,F,,
3,P3 8,13,25,7/24/2022,,1,,4,07/17/22,F,,
3,P3 9,3,10,7/24/2022,,1,,4,07/17/22,F,,
3,P3 10,1,5,7/24/2022,,1,C,4,07/17/22,F,e,7/24/2022
3,P3 11,1,5,7/24/2022,,1,,4,07/17/22,F,e,7/24/2022
3,P3 12,4,10,7/24/2022,,1,,4,07/17/22,F,,
3,P3 13,10,15,7/24/2022,,1,C,4,07/17/22,F,e,7/24/2022
3,P3 14,0,3,7/24/2022,,1,,4,07/17/22,F,e,7/24/2022
3,P3 15,5,10,7/24/2022,,1,,4,07/17/22,F,,
1,P1 1,0,3,7/26/2022,,2,C,4,07/17/22,F,e,7/26/2022
1,P1 2,0,5,7/26/2022,,2,,4,07/17/22,F,,
1,P1 3,11,15,7/26/2022,,2,,4,07/17/22,F,,
1,P1 4,17,25,7/26/2022,,2,C,4,07/17/22,F,e,7/26/2022
1,P1 5,8,15,7/26/2022,,2,,4,07/17/22,F,,
1,P1 6,1,5,7/26/2022,,2,,4,07/17/22,F,,
1,P1 7,18,25,7/26/2022,,2,C,4,07/17/22,F,,
1,P1 8,6,10,7/26/2022,,2,,4,07/17/22,F,e,7/24/2022
1,P1 9,0,2,7/26/2022,,2,,4,07/17/22,F,,
1,P1 10,3,10,7/26/2022,,2,C,4,07/17/22,F,,
1,P1 11,0,3,7/26/2022,,2,,4,07/17/22,F,,
1,P1 12,0,5,7/26/2022,,2,,4,07/17/22,F,e,7/26/2022
1,P1 13,1,5,7/26/2022,,2,C,4,07/17/22,F,e hatched,24.07.22 -> 26.07.22
1,P1 14,0,2,7/26/2022,,2,,4,07/17/22,F,,
1,P1 15,9,15,7/26/2022,,2,,4,07/17/22,F,e,7/26/2022
2,P2 1,0,3,7/26/2022,,2,C,4,07/17/22,F,e,7/26/2022
2,P2 2,0,5,7/26/2022,,2,,4,07/17/22,F,e,7/26/2022
2,P2 3,6,15,7/26/2022,,2,,4,07/17/22,F,,
2,P2 4,18,25,7/26/2022,,2,C,4,07/17/22,F,e,7/24/2022
2,P2 5,9,15,7/26/2022,,2,,4,07/17/22,F,,
2,P2 6,0,5,7/26/2022,,2,,4,07/17/22,F,e,
2,P2 7,18,25,7/26/2022,,2,C,4,07/17/22,F,,
2,P2 8,0,10,7/26/2022,,2,,4,07/17/22,F,e,7/26/2022
