Plate,Individual,Left,R,date,date of death,Measurement,Infection status,Batch,Exp_date,Sex,notes,date for notes
2,P2 10,13,15,07/20/22,,4,C,2,07.08.2022,M,,
2,P2 11,1,2,07/20/22,,4,E-,2,07.08.2022,M,,
2,P2 12,22,25,07/20/22,,4,E-,2,07.08.2022,M,,
2,P2 13,8,10,07/20/22,,4,C,2,07.08.2022,M,,
2,P2 14,9,10,07/20/22,,4,,2,07.08.2022,M,,
2,P2 15,2,5,07/20/22,,4,E+,2,07.08.2022,M,,
3,P3 1,4,5,07/20/22,,4,C,2,07.08.2022,M,,
3,P3 2,1,3,07/20/22,,4,E-,2,07.08.2022,M,,
3,P3 3,1,2,07/20/22,,4,E-,2,07.08.2022,M,,
3,P3 4,7,10,07/20/22,,4,C,2,07.08.2022,M,,
3,P3 5,3,5,07/20/22,,4,E-,2,07.08.2022,M,,
3,P3 6,13,15,07/20/22,,4,E-,2,07.08.2022,M,,
3,P3 7,3,5,07/20/22,,4,C,2,07.08.2022,M,,
3,P3 8,,5,07/20/22,07/13/22,4,,2,07.08.2022,M,,
3,P3 9,2,3,07/20/22,,4,E-,2,07.08.2022,M,,
3,P3 10,13,15,07/20/22,,4,C,2,07.08.2022,M,,
3,P3 11,0,2,07/20/22,,4,E+,2,07.08.2022,M,,
3,P3 12,22,25,07/20/22,,4,E-,2,07.08.2022,M,,
3,P3 13,8,10,07/20/22,,4,C,2,07.08.2022,M,,
3,P3 14,,10,07/20/22,07/13/22,4,,2,07.08.2022,M,,
3,P3 15,2,5,07/20/22,,4,E+,2,07.08.2022,M,,
1,P1 1,0,2,07/22/22,,5,C,2,07.08.2022,M,,
1,P1 2,12,15,07/22/22,,5,E+,2,07.08.2022,M,,
1,P1 3,,25,07/22/22,07/15/22,5,,2,07.08.2022,M,,
1,P1 4,1,3,07/22/22,,5,C,2,07.08.2022,M,,
1,P1 5,1,2,07/22/22,,5,E+,2,07.08.2022,M,,
1,P1 6,2,3,07/22/22,,5,E-,2,07.08.2022,M,,
1,P1 7,8,10,07/22/22,,5,C,2,07.08.2022,M,,
1,P1 8,2,2,07/22/22,,5,E-,2,07.08.2022,M,,
1,P1 9,22,25,07/22/22,,5,E+,2,07.08.2022,M,,
1,P1 10,1,3,07/22/22,,5,C,2,07.08.2022,M,,
1,P1 11,23,25,07/22/22,,5,E-,2,07.08.2022,M,,
1,P1 12,13,15,07/22/22,,5,E-,2,07.08.2022,M,,
1,P1 13,24,25,07/22/22,,5,C,2,07.08.2022,M,,
1,P1 14,14,15,07/22/22,,5,E+,2,07.08.2022,M,,
1,P1 15,0,2,07/22/22,,5,E-,2,07.08.2022,M,,
2,P2 1,0,2,07/22/22,,5,C,2,07.08.2022,M,,
2,P2 2,12,15,07/22/22,,5,E-,2,07.08.2022,M,,
2,P2 3,24,25,07/22/22,,5,E-,2,07.08.2022,M,,
2,P2 4,,3,07/22/22,07/18/22,5,C,2,07.08.2022,M,,
2,P2 5,0,2,07/22/22,,5,E-,2,07.08.2022,M,,
2,P2 6,0,3,07/22/22,,5,E+,2,07.08.2022,M,,
2,P2 7,7,10,07/22/22,,5,C,2,07.08.2022,M,,
2,P2 8,0,2,07/22/22,,5,E+,2,07.08.2022,M,,
